Date,Time,Temperature,,,Year,Stream,Kittle,Mile,Easting,Northing
5/23/1998,00:12:12.0,58.7,,,1998,Jackson Cr.,S-88-8-2,0.2,729344,5311756
5/23/1998,02:12:12.0,57.4,,,,,,,,
5/23/1998,04:12:12.0,56,,,,,,,,
5/23/1998,06:12:12.0,54.6,,,,,,,,
5/23/1998,08:12:12.0,54.6,,,,,,,,
5/23/1998,10:12:12.0,56.7,,,,,,,,
5/23/1998,12:12:12.0,60.8,,,,,,,,
5/23/1998,14:12:12.0,64.2,,,,,,,,
5/23/1998,16:12:12.0,65.6,,,,,,,,
5/23/1998,18:12:12.0,65.6,,,,,,,,
5/23/1998,20:12:12.0,64.2,,,,,,,,
5/23/1998,22:12:12.0,61.5,,,,,,,,
5/24/1998,00:12:12.0,59.4,,,,,,,,
5/24/1998,02:12:12.0,58,,,,,,,,
5/24/1998,04:12:12.0,56.7,,,,,,,,
5/24/1998,06:12:12.0,55.3,,,,,,,,
5/24/1998,08:12:12.0,55.3,,,,,,,,
5/24/1998,10:12:12.0,56.7,,,,,,,,
5/24/1998,12:12:12.0,60.8,,,,,,,,
5/24/1998,14:12:12.0,63.5,,,,,,,,
5/24/1998,16:12:12.0,65.6,,,,,,,,
5/24/1998,18:12:12.0,65.6,,,,,,,,
5/24/1998,20:12:12.0,64.2,,,,,,,,
5/24/1998,22:12:12.0,62.2,,,,,,,,
5/25/1998,00:12:12.0,60.1,,,,,,,,
5/25/1998,02:12:12.0,58,,,,,,,,
5/25/1998,04:12:12.0,56.7,,,,,,,,
5/25/1998,06:12:12.0,55.3,,,,,,,,
5/25/1998,08:12:12.0,55.3,,,,,,,,
5/25/1998,10:12:12.0,57.4,,,,,,,,
5/25/1998,12:12:12.0,60.8,,,,,,,,
5/25/1998,14:12:12.0,63.5,,,,,,,,
5/25/1998,16:12:12.0,64.2,,,,,,,,
5/25/1998,18:12:12.0,64.2,,,,,,,,
5/25/1998,20:12:12.0,63.5,,,,,,,,
5/25/1998,22:12:12.0,61.5,,,,,,,,
5/26/1998,00:12:12.0,60.1,,,,,,,,
5/26/1998,02:12:12.0,58,,,,,,,,
5/26/1998,04:12:12.0,56,,,,,,,,
5/26/1998,06:12:12.0,55.3,,,,,,,,
5/26/1998,08:12:12.0,54.6,,,,,,,,
5/26/1998,10:12:12.0,56,,,,,,,,
5/26/1998,12:12:12.0,58.7,,,,,,,,
5/26/1998,14:12:12.0,61.5,,,,,,,,
5/26/1998,16:12:12.0,63.5,,,,,,,,
5/26/1998,18:12:12.0,63.5,,,,,,,,
5/26/1998,20:12:12.0,61.5,,,,,,,,
5/26/1998,22:12:12.0,59.4,,,,,,,,
5/27/1998,00:12:12.0,57.4,,,,,,,,
5/27/1998,02:12:12.0,54.6,,,,,,,,
5/27/1998,04:12:12.0,53.9,,,,,,,,
5/27/1998,06:12:12.0,53.2,,,,,,,,
5/27/1998,08:12:12.0,53.2,,,,,,,,
5/27/1998,10:12:12.0,56,,,,,,,,
5/27/1998,12:12:12.0,60.1,,,,,,,,
5/27/1998,14:12:12.0,63.5,,,,,,,,
5/27/1998,16:12:12.0,64.2,,,,,,,,
5/27/1998,18:12:12.0,63.5,,,,,,,,
5/27/1998,20:12:12.0,62.2,,,,,,,,
5/27/1998,22:12:12.0,60.8,,,,,,,,
5/28/1998,00:12:12.0,60.1,,,,,,,,
5/28/1998,02:12:12.0,59.4,,,,,,,,
5/28/1998,04:12:12.0,58.7,,,,,,,,
5/28/1998,06:12:12.0,58.7,,,,,,,,
5/28/1998,08:12:12.0,60.1,,,,,,,,
5/28/1998,10:12:12.0,61.5,,,,,,,,
5/28/1998,12:12:12.0,64.9,,,,,,,,
5/28/1998,14:12:12.0,68.4,,,,,,,,
5/28/1998,16:12:12.0,69.7,,,,,,,,
5/28/1998,18:12:12.0,70.4,,,,,,,,
5/28/1998,20:12:12.0,68.4,,,,,,,,
5/28/1998,22:12:12.0,67,,,,,,,,
5/29/1998,00:12:12.0,65.6,,,,,,,,
5/29/1998,02:12:12.0,64.2,,,,,,,,
5/29/1998,04:12:12.0,62.8,,,,,,,,
5/29/1998,06:12:12.0,62.2,,,,,,,,
5/29/1998,08:12:12.0,61.5,,,,,,,,
5/29/1998,10:12:12.0,61.5,,,,,,,,
5/29/1998,12:12:12.0,62.8,,,,,,,,
5/29/1998,14:12:12.0,64.2,,,,,,,,
5/29/1998,16:12:12.0,64.9,,,,,,,,
5/29/1998,18:12:12.0,64.2,,,,,,,,
5/29/1998,20:12:12.0,62.8,,,,,,,,
5/29/1998,22:12:12.0,60.8,,,,,,,,
5/30/1998,00:12:12.0,59.4,,,,,,,,
5/30/1998,02:12:12.0,58,,,,,,,,
5/30/1998,04:12:12.0,56.7,,,,,,,,
5/30/1998,06:12:12.0,56,,,,,,,,
5/30/1998,08:12:12.0,56,,,,,,,,
5/30/1998,10:12:12.0,56.7,,,,,,,,
5/30/1998,12:12:12.0,56.7,,,,,,,,
5/30/1998,14:12:12.0,56,,,,,,,,
5/30/1998,16:12:12.0,56,,,,,,,,
